genres,id,keywords,original_language,production_companies,title,cast,index
  Crime  Comedy  Drama  Adventure,16433,  1970s  rock star  chase  musician  independent film,en, ],Grand Theft Parsons,  Johnny Knoxville  Christina Applegate  Gabriel Macht  Marley Shelton  Robert Forster,4309
  Comedy,15544,,en, FlipZide Pictures,Extreme Movie,  Patrick J. Adams  Ryan Pinkston  Denise Boutte  Michael Cera  Frankie Muniz,4310
  Action  Adventure  Drama  War,43884,  ambush  british army  fort  invasion  attack  heroism  massacre  india  cavalry  tragic death  epic battle  crimea  fianc\u00e9e  brothers  brothers love same woman  the light brigade  horses  british lancers  society ball,en, Warner Bros.,The Charge of the Light Brigade,  Errol Flynn  Olivia de Havilland  Patric Knowles  Henry Stephenson  Nigel Bruce,4311
  Thriller  Horror,107315,  screenwriter,en, ],Below Zero,  Edward Furlong  Michael Berryman  Kristin Booth  Michael Eisner  Dee Hanna,4312
,137955,,en, ],Crowsnest,,4313
  Action  Adventure  Comedy,13064,  sport  rollerblade,en, ],Airborne,  Shane McDermott  Seth Green  Brittney Powell  Chris Conrad  Edie McClurg,4314
  Action  Adventure,59917,  blaxploitation,en, ],Cotton Comes to Harlem,  Godfrey Cambridge  Raymond St. Jacques  Calvin Lockhart  Judy Pace  Redd Foxx,4315
  Horror,157422,,en, After Dark Films  High Five Films,The Wicked Within,  Sienna Guillory  Gianni Capaldi  Enzo Cilenti  Michele Hicks  Sonja Kinski,4316
  Horror,310933,,en, ],Bleeding Hearts,  Robert Loggia  Charles Durning  Tony Todd  Dustin Diamond  Wilson Jermaine Heredia,4317
  Comedy,7553,  decision  waiter  hostess  trainee  gross out  employer employee relationship  speaking german  glass pipe  screaming,en, L.I.F.T. Production  Eden Rock Media,Waiting...,  Ryan Reynolds  Anna Faris  Justin Long  David Koechner  Luis Guzm\u00e1n,4318
  Drama  Thriller  Crime,12877,  rage and hate  brother  revenge  punishment  home movie footage,en, EM Media  Big Arty Productions  Film4  Warp Films,Dead Man's Shoes,  Paddy Considine  Gary Stretch  Toby Kebbell  Jo Hartley  Seamus O'Neill,4319
  Comedy  Horror,39895,  civil war  narration  voodoo  necrophilia  anthology  librarian  freak show,en, Conquest Productions,From a Whisper to a Scream,  Vincent Price  Clu Gulager  Terry Kiser  Rosalind Cash  Cameron Mitchell,4320
  Documentary,102840,,en, ],Sex With Strangers,,4321
  Horror,55616,  dracula  independent film,en, Canadian Broadcasting Corporation (CBC)  Dracula Productions Inc.  Vonnie Von Helmolt Film,Dracula: Pages from a Virgin's Diary,  Wei-Qiang Zhang  Tara Birtwhistle  David Moroni  CindyMarie Small  Johnny A. Wright,4322
  Drama,29697,  christian film  food,en, Global Creative Studios,Faith Like Potatoes,  Frank Rautenbach  Jeanne Neilson  Hamilton Dlamini  Sean Cameron Michael  Rochelle Buchan,4323
  Fantasy  Science Fiction  Horror,50037,  commune  suspense  mad doctor  captive  drugged  aftercreditsstinger,en, Chromewood Productions,Beyond the Black Rainbow,  Michael Rogers  Scott Hylands  Marilyn Norry  Eva Allan  Rondel Reynoldson,4324
  Action  Thriller  Crime,94329,  crime boss  tenement  high rise  monitor  tower block  jakarta indonesia  swat  swat team,id, Celluloid Dreams  Pt. Merantau Films  XYZ Films,The Raid,  Iko Uwais  Joe Taslim  Donny Alamsyah  Yayan Ruhian  Ray Sahetapy,4325
  Horror  Science Fiction  Action,53502,  vampire  zombie  vanity project  mad cow disease,en, ],The Dead Undead,  Luke Goss  Joshua Alba  Matthew R. Anderson  Laura Chinn  Cameron Goodman,4326
  Horror  Documentary  Mystery,202604,  exorcism,en, ],The Vatican Exorcisms,  Joe Marino,4327
  Drama  Romance,289,  love triangle  corruption  spy  resistance  casablanca  emigration  visa  patriotism  nationalism  concentration camp  nazis  war  melodrama  film noir,en, Warner Bros.,Casablanca,  Humphrey Bogart  Ingrid Bergman  Paul Henreid  Claude Rains  Conrad Veidt,4328
  Horror  Thriller,27374,  supernatural  drama,en, Mungo Productions,Lake Mungo,  Talia Zucker  Rosie Traynor  David Pledger  Martin Sharpe  Steve Jodrell,4329
  Drama  Comedy  Romance,26815,  ambition  bollywood  business  india  struggling career,hi, Yash Raj Films,Rocket Singh: Salesman of the Year,  Ranbir Kapoor  Sumeet Darshan Dobhal  Gauhar Khan  Shazahn Padamsee  Prem Chopra,4330
  Adventure  Drama  Science Fiction,811,  space marine  sunlight  plants  space travel  saturn  biotope  greenhouse  dystopia  space  food  robot  space station,en, Universal Pictures  Trumbull/Gruskoff Productions,Silent Running,  Bruce Dern  Cliff Potts  Ron Rifkin  Jesse Vint  Steven Brown,4331
  Drama,1366,  underdog  philadelphia  transporter  italo-american  fight  love of one's life  publicity  boxer  independence  boxing match  training  lovers  surprise  world champion  amateur  victory,en, United Artists,Rocky,  Sylvester Stallone  Talia Shire  Burt Young  Carl Weathers  Burgess Meredith,4332
  Drama,244776,  woman director  young couple  secluded  family estate,en, Tandem Pictures  4 1/2 Film,The Sleepwalker,  Christopher Abbott  Brady Corbet  Stephanie Ellis  Gitte Witt,4333
  Adventure  Comedy  History  Romance,5769,  from rags to riches  tutor  squire,en, Woodfall Film Productions,Tom Jones,  Albert Finney  Susannah York  Hugh Griffith  Edith Evans  Joan Greenwood,4334
  Horror  Thriller,277685,  computer  bullying  revenge  internet  teenager  violence  internet chat  humiliation  death  extramarital affair  vengeful ghost  computer screen  ghost  one night  found footage  skype  facebook  blender,en, Bazelevs Production  Blumhouse Productions,Unfriended,  Shelley Hennig  Moses Jacob Storm  Renee Olstead  William Peltz  Jacob Wysocki,4335
  Crime  Drama,103,  vietnam veteran  taxi  obsession  drug dealer  night shift  vigilante  alienation  misanthrope  shot to death  illegal prostitution  loner,en, Columbia Pictures Corporation  Italo/Judeo Productions  Bill/Phillips,Taxi Driver,  Robert De Niro  Cybill Shepherd  Harvey Keitel  Jodie Foster  Peter Boyle,4336
  Drama  Horror,11298,  insane asylum  werewolf  newswoman,en, AVCO Embassy Pictures  International Film Investors  Wescom Productions,The Howling,  Patrick Macnee  Dennis Dugan  Christopher Stone  Belinda Balaski  Kevin McCarthy,4337
  Adventure  Action  Thriller,646,  london england  england  assassination  spy  casino  exotic island  card game  space marine  intelligence  jamaica  secret base  secret mission  baccarat  secret organization  secret intelligence service  nuclear radiation  villain  secret agent  atomic reactor,en, United Artists  Eon Productions,Dr. No,  Sean Connery  Ursula Andress  Joseph Wiseman  Jack Lord  Bernard Lee,4338
  Horror  Thriller,93856,  radiation  ukraine  nuclear radiation  tourist  nuclear power plant  stranded  deserted town  pripyat,en, Alcon Entertainment  FilmNation Entertainment  Oren Peli / Brian Witten Pictures,Chernobyl Diaries,  Jesse McCartney  Jonathan Sadowski  Olivia Taylor Dudley  Ingrid Bols\u00f8 Berdal  Alex Feldman,4339
  Horror,9003,  underworld  seduction  supernatural  pinhead  revenge  undead  demon  puzzle box  attic  cenobites  body horror,en, New World Pictures  Cinemarque Entertainment BV  Film Futures  Rivdel Films,Hellraiser,  Andrew Robinson  Clare Higgins  Ashley Laurence  Sean Chapman  Oliver Smith,4340
  Drama,347126,  christian,en, Pure Flix Productions,God's Not Dead 2,  Hayley Orrantia  Melissa Joan Hart  Jesse Metcalfe  David A.R. White  Ray Wise,4341
  Horror  Thriller,10092,  murder  serial killer  student  rumor,en, Universal Pictures,Cry_Wolf,  Julian Morris  Lindy Booth  Jared Padalecki  Jon Bon Jovi  Sandra McCoy,4342
  Adventure  Horror  Action  Science Fiction,10643,  japan  monster  flying saucer  godzilla  city  kaiju,ja, Toho Film (Eiga) Co. Ltd.,Godzilla 2000,  Takehiro Murata  Naomi Nishida  Mayu Suzuki  Hiroshi Abe  Shir\u00f4 Sano,4343
  Drama  Romance,46705,  dancing  nurse  depression  classroom  bridge  marriage  truck  love  dysfunctional family  children,en, Hunting Lane Films  Silverwood Films  Incentive Filmed Entertainment  Chrysler Corporation  Shade Pictures  Motel Movies  Cottage Industries,Blue Valentine,  Ryan Gosling  Michelle Williams  Mike Vogel  John Doman  Faith Wladyka,4344
  Drama,546,  individual  gay  new york  usa  missionary  father son relationship  sexual identity  transsexuality  runaway  sexual abuse  waitress  parents kids relationship  drug addiction  cocaine  women's sexual identity  hustler  new identity  motel  therapist  porn actor  road trip  independent film  los angeles  transgender  stolen cars  hitchhike,en, IFC Films  The Weinstein Company,Transamerica,  Felicity Huffman  Kevin Zegers  Elizabeth Pe\u00f1a  Danny Burstein  Maurice Orozco,4345
  Thriller  Horror,76487,  rome  exorcism  death  demonic possession  found footage,en, Room 101  Prototype,The Devil Inside,  Fernanda Andrade  Simon Quarterman  Evan Helmuth  Ionut Grama  Suzan Crowley,4346
  Comedy  Drama  Thriller,5722,  pop  pop star  musical,en, Twentieth Century Fox Film Corporation,Beyond the Valley of the Dolls,  Dolly Read  Cynthia Myers  Marcia McBroom  John Lazar  Michael Blodgett,4347
  Drama  Action  Western  Music  Romance,39833,  civil war,en, Twentieth Century Fox Film Corporation,Love Me Tender,  Richard Egan  Debra Paget  Elvis Presley  Robert Middleton  William Campbell,4348
  Documentary,1781,  climate change  greenhouse effect  climate  earth  global warming  politics  truth  crisis  nature  environment  science  audience,en, Lawrence Bender Productions  Paramount Classics  Participant Media,An Inconvenient Truth,  Al Gore  Billy West  Ronald Reagan  George W. Bush  George H. W. Bush,4349
  Action  Drama  History  War,18712,  sergeant  iwo jima,en, Republic Pictures (I),Sands of Iwo Jima,  John Wayne  John Agar  Adele Mara  Forrest Tucker  Wally Cassell,4350
  Documentary  Music,7944,  new york  film director  legend  song  public  rolling stones  rock  guest  music video  music  concert  theatre milieu  performance,en, Concert Promotion International  Shangri-La Entertainment,Shine a Light,  Mick Jagger  Keith Richards  Charlie Watts  Ronnie Wood  Christina Aguilera,4351
  Action  Adventure  Horror  Thriller,171424,  chile  gore  jungle  extreme violence  cannibal  south america,en, Worldview Entertainment  Dragonfly Entertainment  Sobras International Pictures  Top Hat Releasing  BH Tilt,The Green Inferno,  Lorenza Izzo  Ariel Levy  Sky Ferreira  Nicolas Martinez  Kirby Bliss Blanton,4352
  Drama  Romance  Family,361475,  gay,en, British Film Institute (BFI)  Amaro Films  Connectic Studio  Motion Group Pictures,Departure,  Juliet Stevenson  Alex Lawther  Ph\u00e9nix Brossard  Finbar Lynch  Niamh Cusack,4353
  Drama  Romance  Comedy,113947,  cat  virgin  narration  wheelchair  graduation  sexual arousal  judaism  power outage  intimate  catholic church  sexual awakening  male virgin  woman crying  sponge bath  catholic priest  jealous husband  iron lung  sex surrogate  polio  crying woman  polio victim  jewish man  true life character  gurney  sexual pleasure  pity sex  jewish convert  handicap sex  sexual exploration  naked woman  thrift store,en, Rhino Films  Such Much Films,The Sessions,  John Hawkes  Helen Hunt  William H. Macy  Moon Bloodgood  Annika Marks,4354
  Documentary,18570,  food industry  monsanto  organic food  sustainable  griculture  corn,en, Magnolia Pictures,"Food, Inc.",  Michael Pollan  Eric Schlosser  Richard Lobb  Vince Edwards  Carole Morison,4355
  Drama,83860,  adoption  college,en, ],October Baby,  Rachel Hendrix   Jason Burkey  Robert Amaya   John Schneider,4356
  Comedy  Drama  Romance,41469,  independent film,en, ],Next Stop Wonderland,  Hope Davis  Philip Seymour Hoffman  Holland Taylor  Alan Gelfant  Jason Lewis,4357
  Drama,244772,  new york  adultery  confession  brother sister relationship  infidelity  bisexuality  rejection  cowardice  reunion  death of father  mother daughter relationship  lesbian  in the closet  teacher student relationship  mother son relationship  lgbt  gay lead character  gay brother  estrangement  fraternal twins  new ager  twin synchronization,en, Duplass Brothers Productions  Venture Forth,The Skeleton Twins,  Kristen Wiig  Bill Hader  Luke Wilson  Ty Burrell  Boyd Holbrook,4358
  Drama  Thriller,50837,  sexual abuse  cult  boundary violations  mumblegore,en, Cunningham & Maybach Films  FilmHaven Entertainment  BorderLine Films  This Is That Productions,Martha Marcy May Marlene,  Elizabeth Olsen  Hugh Dancy  John Hawkes  Sarah Paulson  Brady Corbet,4359
  Comedy  Romance,248774,  independent film  woman director,en, Sundial Pictures  Votiv Films  Rooks Nest Entertainment  A24,Obvious Child,  Jenny Slate  Jake Lacy  Gaby Hoffmann  Paul Briganti  Stephen Singer,4360
  Drama,10183,  human trafficking  woman director,en, Cohen Media Group  Harwood Hunt Productions,Frozen River,  Melissa Leo  Misty Upham  Charlie McDermott  John Canoe  Jay Klaitz,4361
  Documentary  Music,159014,,en, Tremolo Productions,20 Feet from Stardom,  Bette Midler  Mick Jagger  Sting  Sheryl Crow  Bruce Springsteen,4362
  Drama  Romance,32456,  love  revenge  loft  analingus  actor,en, Fox Searchlight Pictures,Two Girls and a Guy,  Robert Downey Jr.  Natasha Gregson Wagner  Heather Graham  Angel David  Frederique van der Wal,4363
  Comedy  Drama  Romance,49963,  independent film  woman director,en, Channel Four Films  Pandora Filmproduktion  Zenith Entertainment  Good Machine  Mikado Film  Electric  TEAM Communications Group,Walking and Talking,  Catherine Keener  Anne Heche  Liev Schreiber  Randall Batinkoff  Amy Braverman,4364
  Documentary,13508,  energy supply  automobile industry  independent film,en, Electric Entertainment  Plinyminor  Papercut Films,Who Killed the Electric Car?,  Martin Sheen  Mel Gibson  Tom Hanks,4365
  Comedy  Drama  Romance,22597,  gay  roommate  male friendship  in vitro fertilisation  romantic comedy  lesbian relationship  gay relationship  gay interest,en, ],The Broken Hearts Club: A Romantic Comedy,  Ben Weber  Timothy Olyphant  Matt McGrath  Zach Braff  Dean Cain,4366
  Comedy  Horror  Thriller  Mystery  Fantasy,9707,  john f. kennedy  elvis presley,en, MGM  Silver Sphere Corporation,Bubba Ho-tep,  Bruce Campbell  Ossie Davis  Ella Joyce  Heidi Marnhout  Bob Ivy,4367
  Drama,37532,  independent film,en, ],Slam,  Saul Williams  Sonja Sohn  Bonz Malone  Beau Sia,4368
  Crime  Drama  Mystery  Thriller,26791,,en, Main Street Movie Company,Brigham City,  Richard Dutcher  Matthew A. Brown  Wilford Brimley,4369
  Drama  Foreign  Romance,56666,  suicide  loss of brother  laughing  jihad  love  racial tension,hi, ],Fiza,  Hrithik Roshan  Karisma Kapoor  Jaya Bachchan  Neha  Bikram Saluja,4370
  Comedy,8675,  pornography  sex  secret  fight  star  superhero  independent film  wedding  crime  mormon  woman director  sidekick  henchmen,en, Kuzui Enterprises  Avenging Conscience  Focus Features,Orgazmo,  Trey Parker  Dian Bachar  Matt Stone  Ron Jeremy  Michael Dean Jacobs,4371
  Drama  Romance,13132,  southern usa  small town  virgin  independent film  best friend,en, Sony Pictures Classics,All the Real Girls,  Paul Schneider  Zooey Deschanel  Danny McBride  Maurice Compte  Heather McComb,4372
  Comedy,47686,  independent film,en, ],Dream with the Fishes,  David Arquette  Brad Hunt  Kathryn Erbe  Patrick McGaw  Cathy Moriarty,4373
  Drama,46989,  independent film  woman director,en, ],Blue Car,  Margaret Colin  Agnes Bruckner  David Strathairn  Frances Fisher  A.J. Buckley,4374
  Drama,192132,  high school  soccer  teenager  older man younger woman relationship  teenage sexuality  woman director,en, Tribeca Film,Palo Alto,  Emma Roberts  Jack Kilmer  Nat Wolff  James Franco  Zoe Levin,4375
  Crime  Drama,24424,,he, ARTE  Inosan  Das Kleine Fernsehspiel (ZDF)  Twenty Twenty Vision Filmproduktion GmbH,Ajami,  Fouad Habash  Nisrine Rihan  Elias Saba  Youssef Sahwani  Abu George Shibli,4376
  Comedy  Drama  Fantasy  Romance,13198,  independent film  break-up  ex-boyfriend ex-girlfriend relationship  rolling a cigarette  autocide  record player  hypodermic needle  missing pet  head in oven  grocery store  arm in cast  gun in mouth  toast  listening to music,en, No Matter Pictures,Wristcutters: A Love Story,  Patrick Fugit  Shannyn Sossamon  Shea Whigham  Leslie Bibb  Will Arnett,4377
  Science Fiction  Drama,244267,  independent film  eyes  molecular biologist,en, Verisimilitude  Bersin Pictures  WeWork Studios,I Origins,  Michael Pitt  Brit Marling  Astrid Berg\u00e8s-Frisbey  Steven Yeun  Archie Panjabi,4378
  Comedy  Drama  Romance,21413,  fantasy  enemy  sister  high school  battlefield  bully  teenager  strategy  addict,en, Miramax Films  LivePlanet,The Battle of Shaker Heights,  Shia LaBeouf  Elden Henson  Amy Smart  Billy Kay  Kathleen Quinlan,4379
  Documentary,123678,  corruption  war  indonesia,id, Spring Films  Final Cut for Real  Piraya Film A/S  Novaya Zemlya,The Act of Killing,  Anwar Congo  Herman Koto  Syamsul Arifin  Ibrahim Sinik  Yapto Soerjosoemarno,4380
  Documentary,13362,  taxi  afghanistan  guantanamo bay  torture chamber,en, Jigsaw Productions,Taxi to the Dark Side,  Brian Keith Allen  Moazzam Begg  Christopher Beiring  Alex Gibney,4381
  Documentary,39183,  new york  beckenbauer  pele,en, ],Once in a Lifetime: The Extraordinary Story of the New York Cosmos,  Pel\u00e9  Franz Beckenbauer  Carlos Alberto  Raphael de la Sierra  Phil Woosnam,4382
  Drama,62402,  guyana  19th century,en, ],Guiana 1838,  Aasheekaa Bathija  Thomas Garvey  Kumar Gaurav  Rufus Graham  Asim Mujahid,4383
,206412,,en, ],Lisa Picard Is Famous,  Laura Kirk  Nat DeWolf  Griffin Dunne  Daniel London  Sandra Bullock,4384
  Drama  Adventure  Documentary,201132,  biography  antarctica,en, Antzworks,Antarctica: A Year on Ice,  Genevieve Bachman  William Brotman  Michael Christiansen  Tom Hamann  George Lampman,4385
  Documentary,251471,  pop culture  fan culture  documentary  toys,en, Global Emerging Markets (GEM)  HeLo,A LEGO Brickumentary,  Jason Bateman  Matthias Klie,4386
  Drama  Action,112456,  skateboarding  forgiveness  sport  family relationships  aftercreditsstinger,en, ],Hardflip,  Randy Wayne  John Schneider  Rosanna Arquette  Sean Michael Afable  Jason Dundas,4387
  Thriller,20296,,en, ],Chocolate: Deep Dark Secrets,  Anil Kapoor  Sunil Shetty  Arshad Warsi  Emraan Hashmi  Irrfan Khan,4388
  Mystery  Horror,25983,  ritual  cult  independent film  human sacrifice  eclipse  satanic ritual  mumblegore,en, Glass Eye Pix  MPI Media Group,The House of the Devil,  Jocelin Donahue  Mary Woronov  Greta Gerwig  AJ Bowen  Heather Robb,4389
  Comedy  Thriller  Crime,66195,  swimming pool  tea kettle  conga line  spit in the face  convenience store robbery,en, Splendid Film,The Perfect Host,  David Hyde Pierce  Clayne Crawford  Nathaniel Parker  Helen Reddy,4390
  Comedy  Crime,16155,  robbery  organized crime  gangster  safecracker  rosh hashanah,en, October Films  Andell Entertainment  Blue Guitar Films,Safe Men,  Sam Rockwell  Steve Zahn  Paul Giamatti  Mark Ruffalo  Josh Pais,4391
  Romance  Drama  Crime,46727,  racing car  growing up  scam  male prostitute,en, Golan-Globus Productions  Powers That Be Pictures  Magic Entertainment  id: 85164}  id: 85165}],Speedway Junky,  Jesse Bradford  Jordan Brower  Jonathan Taylor Thomas  Daryl Hannah  Tiffani Thiessen,4392
  Comedy  Drama,55180,  magazine  independent film  counter-culture  model  arrogance,en, Byronic Pose Productions,The Last Big Thing,  Dan Zukovic  Mark Ruffalo  Sibel Ergener  James Lorinz  Yul Vazquez,4393
  Action  Comedy,29015,  superhero,en, Brillstein-Grey Entertainment  Mindfire Entertainment,The Specials,  Jordan Ladd  Rob Lowe  Jamie Kennedy  Thomas Haden Church  James Gunn,4394
  Comedy  Romance,91122,  affection  woman director,en, Duck Farm Films,16 to Life,  Hallee Hirsh  Theresa Russell  Shiloh Fernandez  Will Rothhaar,4395
  Crime  Drama  Romance  Thriller,18206,  obsession  hidden camera  stalker  independent film  invasion of privacy  voyeurism,en, The Weinstein Company  Pin Hole Productions LLC,Alone With Her,  Colin Hanks  Ana Claudia Talanc\u00f3n  Jordana Spiro  Jonathon Trent  Alex Boling,4396
  Drama  Science Fiction,320146,  virtual reality  black and white,en, Ghost Robot  Greencard Pictures  Mathematic,Creative Control,  Benjamin Dickinson  Nora Zehetner  Dan Gill  Alexia Rasmussen  Gavin McInnes,4397
  Drama  Fantasy  Science Fiction,13856,  hallucination  superhero  independent film,en, Rival Pictures,Special,  Michael Rapaport  Josh Peck  Robert Baker  Jack Kehler  Alexandra Holden,4398
,219716,,en, ],Sparkler,  Park Overall  Veronica Cartwright  Freddie Prinze Jr.  Don Harvey  Jamie Kennedy,4399
  Action  Comedy  Science Fiction,43630,,en, ],The Helix... Loaded,,4400
  Drama  Action  Thriller,56491,  rebel  usa president  hostage  airplane,en, ],In Her Line of Fire,  Mariel Hemingway  David Keith  David Millbern  Jill Bennett  Sydney Jackson,4401
  Comedy  Drama,99826,  stand-up comedy,en, Next Wednesday Productions,The Jimmy Show,  Frank Whaley  Carla Gugino  Ethan Hawke  Lynn Cohen  Jillian Stacom,4402
  Crime  Drama,186935,  drug cartel  extreme violence,es, Mantarraya Producciones  No Dream Cinema  Lemming Film  Le Pacte  Fondo para la Producci\u00f3n Cinematogr\u00e1fica de Calidad (FOPROCINE)  ZDF/Arte  unafilm  Centre National du Cin\u00e9ma et de L'image Anim\u00e9e (CNC)  Tres Tunas  Consejo Nacional para la Cultura y las Artes (CONACULTA)  Ticoman  Ik\u00e9 Asistencia  Fonds Sud Cin\u00e9ma  Minist\u00e8re des Affaires Etrang\u00e8res et Europ\u00e9ennes  Film- und Medienstiftung NRW  Netherland Filmfund  Sundance / NHK International Filmmakers Award,Heli,  Armando Espitia  Andrea Vergara  Linda Gonzalez  Juan Eduardo Palacios  Kenny Johnston,4403
  Family  Comedy,357441,,en, ],Karachi se Lahore,  Shehzad Sheikh  Ayesha Omar  Yasir Hussain  Javed Sheikh,4404
  Drama  Romance,19344,  bisexuality  australia  twin brother  friends  melbourne  teacher  lesbian  lgbt  woman director,en, Big Easy Pictures  Divine Light Pictures,Loving Annabelle,  Erin Kelly  Diane Gaidry  Laura Breckenridge  Michelle Horn  Gustine Fudickar,4405
  Drama  Comedy,242083,  talent  delusion  fame  teenager  viral video,en, Honora Productions  Brooks Media,Hits,  Meredith Hagner  Matt Walsh  James Adomian  Jake Cherry  Derek Waters,4406
  Action  Crime  Drama  Thriller,18869,  police  revenge  independent film  video camera  on the run,en, ],Jimmy and Judy,  Edward Furlong  Rachael Bella  William Sadler,4407
  Comedy  Romance,26673,  sport,en, SuperMassive Films,Frat Party,  Randy Wayne  Caroline D'Amore  Jareb Dauplaise  Lauren C. Mayhew  Dan Levy,4408
  Drama,41830,  london england  beatnik,en, Tricastle,The Party's Over,  Oliver Reed  Clifford David  Ann Lynn  Louise Sorel  Mike Pratt,4409
  Drama,37694,  woman director,en, ],Proud,  Vernel Bagneris  Marcus Chait  Michael Ciesla,4410
  Drama,63287,  rape  drug abuse  independent film,en, The Poker House,The Poker House,  Jennifer Lawrence  Selma Blair  Bokeem Woodbine  Chlo\u00eb Grace Moretz  Sophia Bairley,4411
,335874,,en, ],Childless,  Barbara Hershey  Joe Mantegna  Diane Venora  James Naughton  Natalie Dreyfuss,4412
  Horror,34592,  racist  religion,en, Splendid Film,ZMD: Zombies of Mass Destruction,  Janette Armand  Doug Fahl  Cooper Hopkins  Bill Johns  Russell Hodgkinson,4413
  Horror  Thriller,92635,,en, ],Snow White: A Deadly Summer,  Shanley Caswell  Maureen McCormick  Eric Roberts  Tim Abell  R.J. Cantu,4414
  Romance  Drama,258755,,es, Baleuko S.L.  Departamento de Cultura del Gobierno Vasco  Bitart New Media,Hidden Away,  Germ\u00e1n Alcarazu  Adil Koukouh  Ana Wagener  Alex Angulo,4415
  Comedy  Drama  Romance,96534,,de, ],My Last Day Without You,  Ken Duken  Nicole Beharie  Reg E. Cathey  Marlene Forte  Laith Nakli,4416
  Comedy  Romance,21283,,en, Triumphant Pictures,Steppin: The Movie,  Wesley Jonathan  Chrystee Pharris  Anthony Anderson,4417
  Western,272724,,en, Rapid Heart Pictures,Doc Holliday's Revenge,  Tom Berenger  Ashley Hayes  Eric Roberts  Bart Voitila  Oliver Rayon,4418
  Thriller  Horror,84178,  friends  remote island  woman director,en, Submarine Entertainment Distributors  LD Entertainment,Black Rock,  Kate Bosworth  Lake Bell  Jay Paulson  Katie Aselton  Will Bouvier,4419
  Horror  Thriller  Mystery,101179,,en, Corona Pictures,Truth or Dare,  Liam Boyle  Jack Gordon  Florence Hall  David Oakes  Jennie Jacques,4420
  Drama  Thriller,52462,  independent film,en, ],The Pet,  Pierre Dulat  Andrea Edmondson  Summer Nguyen  Lydia McLane  Steven Wollenberg,4421
  Science Fiction  Drama  Music,269057,  small town  rock star  musical  idol  teenager  1960s  chemical leak  mutations,en, JoBro Productions & Film Finance  Scythia Films,Bang Bang Baby,  Jane Levy  Peter Stormare  Justin Chatwin  David Reale  Kristian Bruun,4422
  Horror,287524,  phobia  doctor  fear,en, Dry County Films  Anchor Bay Entertainment  Movie Machine,Fear Clinic,  Thomas Dekker  Robert Englund  Cleopatra Coleman  Fiona Dourif  Kevin Gage,4423
  Comedy  Action  Science Fiction  Thriller,206213,  mutant  post-apocalyptic  zombie,en, Arrowstorm Entertainment  The Klimax,Zombie Hunter,  Martin Copping  Danny Trejo  Clare Niederpruem  Terry Guthrie  Jason Regier,4424
  Drama,248402,,en, ],A Fine Step,  Luke Perry  Anna Claire Sneed  Leonor Varela,4425
  Drama  Romance  Science Fiction,29146,  experiment  mouse  intelligence test  genius,en, ABC Pictures  Cinerama Releasing Corporation,Charly,  Cliff Robertson  Claire Bloom  Lilia Skala  Leon Janney  Ruth White,4426
  Horror  Thriller,207769,  lsd  government  conspiracy  tension  video camera  drug use  writer  desert  radio broadcast  mind bender  number stations  lovecraftian  mk ultra  experimental drug,en, Before the Door Pictures  Sunchaser Entertainment  Favorit Film,Banshee Chapter,  Ted Levine  Katia Winter  Michael McMillian  Monique Candelaria  Jenny Gabrielle,4427
  Drama  Mystery  Thriller,271185,  college  blog  dark secrets,en, Decipher Entertainment  Presque Isle Films  LA Publicity  Tait Productions,Ask Me Anything,  Britt Robertson  Christian Slater  Justin Long  Martin Sheen  Andy Buckley,4428
  Comedy  Romance,29731,,en, ],And Then Came Love,  Kevin Daniels  Michael Boatman  Jeremy Gumbs  Eartha Kitt  Vanessa Williams,4429
  Documentary,292539,,de, ],Food Chains,,4430
  Crime  Drama,654,  murder  suspense  union  dock  longshoreman  pigeon,en, Columbia Pictures  Horizon Pictures,On the Waterfront,  Marlon Brando  Karl Malden  Lee J. Cobb  Rod Steiger  Pat Henning,4431
  Comedy,91070,  baby  roommate  friendship  single  los angeles  dating  pregnancy  woman director,en, Stardust Pictures  Dot Dot Dot Productions,L!fe Happens,  Krysten Ritter  Kate Bosworth  Rachel Bilson  Geoff Stults  Justin Kirk,4432
  Drama,2009,  rape  hotel room  totalitarian regime  cohabitant  female friendship  dormitory  best friend  contraception  romanian new wave,ro, Saga Film  Mobra Films  Mindshare Media  Centrul National al Cinematografiei (CNC)  McCann-Erickson  Televiziunea Romana (TVR1)  Hubert Bals Fund of the Rotterdam Festival  id: 73927}],"4 Months, 3 Weeks and 2 Days",  Anamaria Marinca  Laura Vasiliu  Vlad Ivanov  Alexandru Potocean  Lumini\u021ba Gheorghiu,4433
  Horror,323270,  anthology,en, ],The Horror Network Vol. 1,  Nick Frangione  Artem Mishin  Jan Cornet  Brian Dorton  Javier Botet,4434
  Drama  Thriller,2652,  suicide  rape  age difference  photographer  ice  shower  menace  lie  pedophilia  manipulation  bedroom  sadism  electric shock  coffee shop  castration  insanity  vigilante  sociopath  deception  neighbor  teenage girl  crying  torture  sadist  pedophile  cruelty  older man younger woman relationship  one day  justice  drinking  rooftop  held captive  mental illness  threat  sexual torture  screaming  electrical torture  childhood sexual abuse  photo studio  verbal abuse,en, Vulcan Productions Inc.,Hard Candy,  Patrick Wilson  Ellen Page  Sandra Oh  Odessa Rae  G.J. Echternkamp,4435
